# CCM 곡 목록 — 한 줄에 한 곡, 칸은 " | " 로 구분합니다.
# 형식:  제목 | 템포 | 코드 | 주제
#  - 템포: 빠른곡 / 미디움 / 느린곡           (여러 개면 쉼표, 예: 빠른곡, 미디움)
#  - 코드: C D Eb E F G A Bb B               (여러 개면 쉼표, 예: G, A)
#  - 주제: 경배와 찬양 / 은혜와 사랑 / 회개와 고백 / 기도와 간구 / 축복과 교제 / 선교와 승리
#  - 값이 없으면 칸을 비워 두세요(예:  제목 | 빠른곡 |  | ).
#  - 줄을 지우면 삭제, 새 줄을 추가하면 새 곡으로 추가됩니다.
#  - '#' 로 시작하는 줄은 무시됩니다. 제목으로 기존 곡과 연결되니 제목 변경은 새 곡으로 인식됩니다.
# 총 453곡 · 가나다순

가슴마다 파도친다 | 미디움 | C | 선교와 승리
나의 맘 받으소서 | 느린곡 | D | 기도와 간구
나의 모습 나의 소유 | 느린곡 | F | 선교와 승리
나의 믿음 주께 있네 | 미디움 | Bb | 기도와 간구
나의 반석이신 하나님 | 빠른곡 | A | 경배와 찬양
나의 안에 거하라 | 느린곡 | A | 은혜와 사랑
나의 영혼이 잠잠히 | 느린곡 | A, Bb | 회개와 고백
나의 주 나의 하나님이여 | 느린곡 | E | 회개와 고백
나의 힘이 되신 여호와여 | 미디움 | A | 기도와 간구
날 구원하신 주 감사 | 느린곡 | A | 은혜와 사랑
날 세우시네 | 느린곡 | C | 회개와 고백
날 위하여 십자가의 | 느린곡 | G | 회개와 고백
날 향한 계획 | 미디움 | C | 은혜와 사랑
날마다 숨쉬는 순간마다 | 느린곡 | E | 경배와 찬양
낮엔 해처럼 밤엔 달처럼 | 느린곡 | G | 회개와 고백
낮은 곳으로 | 느린곡 | F, G | 회개와 고백
내 갈급함 | 느린곡 | E, F, G | 기도와 간구
내 구주 예수님 | 느린곡 | C | 경배와 찬양
내 구주 예수를 더욱 사랑 | 느린곡 | G | 회개와 고백
내 마음속에 전부가 되신 | 느린곡 | E, F | 은혜와 사랑
내 마음을 가득 채운 | 미디움 | E | 회개와 고백
내 맘의 주여 소망 되소서 | 느린곡 | C | 기도와 간구
내 모든 삶의 행동 | 빠른곡 | G | 선교와 승리
내 삶 드리리 | 느린곡 | G, A | 선교와 승리
내 손을 주께 높이 듭니다 | 빠른곡 | G | 경배와 찬양
내 안에 가장 귀한 것 | 느린곡 | C, D | 경배와 찬양
내 안에 부어 주소서 | 빠른곡 | A | 경배와 찬양
내 안에 사는 이 | 느린곡 | C | 회개와 고백
내 안에 주를 향한 이 노래 | 느린곡 | A | 경배와 찬양
내 영이 주를 찬양합니다 | 빠른곡 | E | 경배와 찬양
내 영혼은 안전합니다 | 미디움 | E, G, A | 회개와 고백
내 영혼의 그윽이 깊은 데서 | 느린곡 | Bb | 회개와 고백
내 이름 아시죠 | 느린곡 | E | 회개와 고백
내 주 없인 살 수 없네 | 느린곡 | D | 기도와 간구
내 주의 은혜 강가로 | 느린곡 | G | 은혜와 사랑
내 평생 사는 동안 | 미디움 | C, D, E | 경배와 찬양
내가 늘 의지하는 예수 | 미디움 | E | 회개와 고백
내가 매일 기쁘게 | 미디움 | G | 은혜와 사랑
내가 어둠 속에서 | 미디움 | E | 은혜와 사랑
내가 예수를 못 박았습니다 | 느린곡 | F | 회개와 고백
내가 주인 삼은 | 느린곡 | G | 회개와 고백
내가 할 수 있는 것은 | 미디움 | G | 은혜와 사랑
내게 강 같은 평화 | 빠른곡 | F, G, A, Bb | 회개와 고백
내게 있는 향유 옥합 | 느린곡 | D | 은혜와 사랑
내일 일은 난 몰라요 | 느린곡 | A | 은혜와 사랑
너 예수께 조용히 나가 | 느린곡 | D, E | 회개와 고백
너는 그리스도의 향기라 | 미디움 | D | 축복과 교제
너는 내 아들이라 | 느린곡 | C, A, Bb | 은혜와 사랑
너는 시냇가에 심은 나무라 | 미디움 | E | 경배와 찬양
너를 선택한다 | 느린곡 | E, G | 은혜와 사랑
너무 멀리 왔나요 | 느린곡 | F, A | 기도와 간구
네 기쁨이 풀릴 때까지 | 느린곡 | G | 축복과 교제
놀라운 주의 사랑 | 빠른곡 | A | 은혜와 사랑
누군가 널 위하여 | 느린곡 | E, F, G | 은혜와 사랑
눈물 많은 세상에 | 느린곡 | G | 은혜와 사랑
늘 아쉬운 마음 | 느린곡 | G | 기도와 간구
다 와서 찬양해 | 빠른곡 | G | 경배와 찬양
다시 복음 앞에 | 느린곡 | C, D | 선교와 승리
다시 일어나 | 미디움 | G | 선교와 승리
다시 일어납니다 | 느린곡 | F, G | 선교와 승리
당신은 사랑받기 위해 태어난 사람 | 미디움 | D | 은혜와 사랑
당신은 시간을 뚫고 | 느린곡 | C, D | 은혜와 사랑
당신은 알고 있나요 | 느린곡 | E | 은혜와 사랑
당신은 하나님의 언약 안에 | 미디움 | D | 선교와 승리
더 원합니다 | 느린곡 | G | 기도와 간구
두 손 들고 | 느린곡 | E | 경배와 찬양
땅 끝에서 | 미디움 | D | 경배와 찬양
때로는 너의 앞에 | 느린곡 | G | 축복과 교제
또 하나의 열매를 바라시며 | 느린곡 | D | 축복과 교제
마음 속에 근심 있는 사람 | 미디움 | G, A | 기도와 간구
마음의 예배 | 느린곡 | D | 회개와 고백
마음이 상한 자를 | 느린곡 | F | 축복과 교제
마음이 상한 자를 (마커스 Ver.) | 느린곡 | G | 기도와 간구
마지막 날에 | 미디움 | G | 선교와 승리
만유의 주재 | 느린곡 | A | 경배와 찬양
말씀하시면 | 미디움 | C, D | 회개와 고백
먼저 그 나라와 의를 구하라 | 빠른곡 | C | 경배와 찬양
모든 능력과 모든 권세 | 미디움 | A | 경배와 찬양
모든 민족과 방언들 가운데 | 미디움 | G | 선교와 승리
모든 상황 속에서 | 미디움 | F | 회개와 고백
모든 생명들아 소리쳐 | 미디움 | D | 경배와 찬양
모든 시선을 주님께 드리고 (시선) | 느린곡 | E, F | 경배와 찬양
모든 열방 주 볼 때까지 | 미디움 | G | 선교와 승리
모든 이름 위에 뛰어난 이름 | 미디움 | D | 경배와 찬양
목마른 사슴 | 느린곡 | C | 회개와 고백
무덤 이기신 예수 | 빠른곡 | A, B | 선교와 승리
무화과 나뭇잎이 마르고 | 빠른곡 | A | 경배와 찬양
문들아 머리 들어라 | 미디움 | G | 기도와 간구
물이 바다 덮음 같이 | 미디움 | G | 선교와 승리
믿음이 없이는 | 미디움 | G | 선교와 승리
밀알 | 느린곡 | E, F | 기도와 간구
반드시 내가 너를 | 빠른곡 | D | 회개와 고백
밤이나 낮이나 | 미디움 | E | 기도와 간구
벙어리의 고백 | 미디움 | D | 기도와 간구
변찮는 주님의 사랑과 | 빠른곡 | G | 은혜와 사랑
보라 너희는 두려워 말고 | 느린곡 | G | 선교와 승리
보혈을 지나 | 느린곡 | F, G | 회개와 고백
복음 들고 산을 | 빠른곡 | C | 선교와 승리
복이라 | 미디움 | D, F | 은혜와 사랑
부르신 곳에서 | 느린곡 | E, F | 경배와 찬양
부모의 노래 | 느린곡 | C | 기도와 간구
부흥 | 느린곡 | C, D, F, G, A | 기도와 간구
비 준비하시니 | 미디움 | G, A | 은혜와 사랑
비전 | 미디움 | A | 선교와 승리
빈 들에 마른 풀 같이 | 미디움 | A | 경배와 찬양
빛 되신 주 | 미디움 | E, F | 경배와 찬양
빛나고 높은 보좌와 | 미디움 | A | 경배와 찬양
빛으로 임하신 주 | 빠른곡 | G, A | 경배와 찬양
사람을 보며 세상을 볼 땐 | 빠른곡 | F, G | 기도와 간구
사람을 살리는 노래 | 미디움 | F | 선교와 승리
사랑은 언제나 오래 참고 | 느린곡 | D | 경배와 찬양
사랑의 노래 드리네 | 느린곡 | G | 회개와 고백
사랑의 원자탄 | 빠른곡 | G | 선교와 승리
사랑의 주님이 | 미디움 | D | 은혜와 사랑
사랑하는 나의 아버지 | 느린곡 | C | 경배와 찬양
사랑합니다 나의 예수님 | 미디움 | G | 경배와 찬양
사랑합니다 주님 | 미디움 | F | 경배와 찬양
사랑해요 목소리 높여 | 느린곡 | E | 경배와 찬양
사막에 샘이 넘쳐 | 빠른곡 | E | 경배와 찬양
산과 시내와 붉은 노을 | 빠른곡 | C | 은혜와 사랑
살아계신 주 | 미디움, 느린곡 | A | 경배와 찬양
새벽부터 우리 | 빠른곡 | C | 은혜와 사랑
샘물과 같은 보혈은 | 미디움 | C, A | 회개와 고백
생명 주께 있네 | 빠른곡 | G | 경배와 찬양
선하신 목자 | 빠른곡 | D | 회개와 고백
선한 능력으로 | 느린곡 | E, F, G | 회개와 고백
선한 목자 되신 우리 주 | 미디움 | D | 회개와 고백
성령 받으라 | 미디움 | E, F | 경배와 찬양
성령의 불로 | 느린곡 | E | 경배와 찬양
성령의 불타는 교회 | 빠른곡 | G | 경배와 찬양
성령의 비가 내리네 | 느린곡 | G | 경배와 찬양
성령이 오셨네 | 느린곡 | C, A | 경배와 찬양
성령이여 내 영혼을 | 미디움 | D | 경배와 찬양
성령이여 임하소서 | 빠른곡 | A | 경배와 찬양
세상 모든 민족이 | 느린곡 | G | 경배와 찬양
세상에서 방황할 때 | 느린곡 | C | 은혜와 사랑
세상이 주를 알기 원하네 | 미디움 | D | 선교와 승리
소원 | 느린곡 | F, G | 선교와 승리
속죄하신 구세주를 | 미디움 | G | 은혜와 사랑
손을 높이 들고 | 빠른곡 | E | 경배와 찬양
송축해 내 영혼 | 미디움 | G | 경배와 찬양
슬픈 마음 있는 자 | 미디움 | A | 기도와 간구
시간을 뚫고 | 느린곡 | C, D | 은혜와 사랑
시선 | 느린곡 | E, F | 경배와 찬양
시온에 영광이 빛나는 아침 | 미디움 | G | 경배와 찬양
시편 23편 | 느린곡 | C, F, G | 경배와 찬양
신실하게 진실하게 | 느린곡 | D | 기도와 간구
실로암 | 빠른곡 | C, A | 기도와 간구
십자가 | 느린곡 | D | 회개와 고백
십자가 군병되어서 | 빠른곡 | C | 회개와 고백
십자가 그 사랑 | 느린곡 | G | 회개와 고백
십자가를 질 수 있나 | 느린곡 | G | 선교와 승리
십자가의 길 순교자의 삶 | 느린곡 | A | 회개와 고백
십자가의 전달자 | 미디움 | B | 선교와 승리
싹트네 싹터요 | 빠른곡 | D, E | 경배와 찬양
아름다우신 | 느린곡 | G, A | 경배와 찬양
아름다운 나라 | 미디움 | G | 선교와 승리
아름다운 마음들이 모여서 | 빠른곡 | C | 경배와 찬양
아름다운 이야기가 있네 | 빠른곡 | A | 회개와 고백
아무것도 두려워 말라 | 느린곡 | C, A, Bb | 회개와 고백
아바 아버지 | 느린곡 | E, F | 경배와 찬양
아버지 사랑 내가 노래해 | 느린곡 | F | 은혜와 사랑
아버지 사랑합니다 | 느린곡 | F | 회개와 고백
아주 먼 옛날 | 빠른곡 | C | 회개와 고백
아주 먼 옛날 (위러브 Ver.) | 빠른곡 | D | 축복과 교제
아침 안개 눈 앞 가리듯 | 느린곡 | C, D | 기도와 간구
아침에 주의 인자하심을 | 미디움 | G | 은혜와 사랑
야곱의 축복 | 미디움 | C | 기도와 간구
야베스의 기도 | 미디움 | A | 기도와 간구
약한 나로 강하게 | 느린곡 | C | 은혜와 사랑
약할 때 강함 되시네 | 느린곡 | F, G | 회개와 고백
어둔 날 다 지나고 | 미디움 | C, D | 은혜와 사랑
어둠을 찢고 | 빠른곡 | A | 선교와 승리
어찌하여야 | 느린곡 | C | 은혜와 사랑
언제나 주만 | 느린곡 | G | 회개와 고백
여기에 모인 우리 | 미디움 | F, G | 경배와 찬양
여호와 우리 주여 | 느린곡 | C | 경배와 찬양
여호와를 즐거이 불러 | 빠른곡 | E | 경배와 찬양
여호와의 유월절 | 미디움 | F | 기도와 간구
열려라 에바다 | 빠른곡 | E | 축복과 교제
영광 영광 할렐루야 | 빠른곡 | A | 경배와 찬양
영원한 사귐으로 | 느린곡 | D, E | 은혜와 사랑
예배자 | 느린곡 | A | 경배와 찬양
예배하는 이들에게 | 느린곡 | E | 경배와 찬양
예배합니다 | 느린곡 | E, F, G | 경배와 찬양
예수 나를 오라 하네 | 느린곡 | F | 회개와 고백
예수 나의 좋은 치료자 | 느린곡 | A | 은혜와 사랑
예수 나의 첫사랑 되시네 | 빠른곡 | A | 경배와 찬양
예수 늘 함께하시네 | 느린곡 | D, E, F | 회개와 고백
예수 닮기를 | 느린곡 | C, A, B | 기도와 간구
예수 사랑하심은 | 느린곡 | C | 회개와 고백
예수 사랑해요 | 느린곡 | C | 경배와 찬양
예수 아름다우신 | 느린곡 | G, A | 경배와 찬양
예수 안에 소망 있네 | 느린곡 | Eb | 회개와 고백
예수 열방의 소망 | 미디움 | A | 경배와 찬양
예수 우리 왕이여 | 느린곡 | A | 회개와 고백
예수 이름 높이세 | 미디움 | G | 선교와 승리
예수 이름으로 | 빠른곡 | E, F | 회개와 고백
예수 이름이 온 땅에 | 빠른곡 | D | 회개와 고백
예수 인도하셨네 | 느린곡 | D | 은혜와 사랑
예수 피를 힘입어 | 미디움 | E | 기도와 간구
예수가 보이네 | 미디움 | F, G | 회개와 고백
예수가 좋다오 | 빠른곡 | A | 회개와 고백
예수님 찬양 예수님 찬양 | 빠른곡 | G | 경배와 찬양
예수님이 좋은 걸 | 미디움 | E | 회개와 고백
예수의 이름으로 | 느린곡 | F, G | 회개와 고백
오 놀라운 구세주 | 미디움 | D | 회개와 고백
오 위대하신 주 | 느린곡 | A, B | 경배와 찬양
오 이 기쁨 | 빠른곡 | G | 은혜와 사랑
오 주여 나의 마음이 | 빠른곡 | G | 경배와 찬양
오늘 이 곳에 계신 성령님 | 미디움 | G | 경배와 찬양
오늘 이 자리에 모인 우리 | 미디움 | G | 기도와 간구
오라 우리가 | 미디움 | D | 경배와 찬양
오랫동안 모든 죄 가운데 빠져 | 미디움 | C | 은혜와 사랑
오소서 진리의 성령님 | 느린곡 | D | 기도와 간구
오직 믿음으로 | 미디움 | F | 회개와 고백
오직 예수 | 미디움 | A | 회개와 고백
오직 예수뿐이네 | 느린곡 | D, E, F | 회개와 고백
오직 주의 사랑에 매여 | 느린곡 | D | 회개와 고백
온 땅의 창조주 | 미디움 | G | 경배와 찬양
온 땅이여 주를 | 빠른곡 | E | 경배와 찬양
온 맘 다해 | 느린곡 | F | 회개와 고백
온전케 되리 | 느린곡 | C, A | 회개와 고백
옳은 길 따르라 의의 길을 | 미디움 | E | 경배와 찬양
완전하신 나의 주 | 느린곡 | F | 경배와 찬양
왕 되신 주께 감사하세 | 빠른곡 | G | 경배와 찬양
왕의 왕 주의 주 | 빠른곡 | G | 경배와 찬양
왕이신 나의 하나님 | 느린곡 | F, G | 경배와 찬양
왜 슬퍼하느냐 | 느린곡 | G | 회개와 고백
요게벳의 노래 | 느린곡 | E, F | 기도와 간구
요한의 고백 | 느린곡 | G | 회개와 고백
우리 모일 때 주 성령 임하리 | 미디움 | D | 은혜와 사랑
우리 보좌 앞에 모였네 | 느린곡 | A | 은혜와 사랑
우리 살아가는 모든 날들이 | 느린곡 | E, F | 은혜와 사랑
우리 오늘 눈물로 | 느린곡 | A | 기도와 간구
우리 죄 위해 죽으신 주 | 느린곡 | A | 은혜와 사랑
우리 주의 성령이 | 미디움 | E | 경배와 찬양
우리 함께 기도해 | 느린곡 | E | 은혜와 사랑
우리 함께 기뻐해 | 빠른곡 | E | 경배와 찬양
우리가 우리를 기억하듯 | 느린곡 | F | 은혜와 사랑
우리는 주의 교회 | 미디움, 느린곡 | C, D | 선교와 승리
우리는 주의 움직이는 교회 | 미디움 | F, G | 선교와 승리
우리를 죄에서 구하시려 | 빠른곡 | A | 회개와 고백
우릴 사용하소서 | 미디움 | C | 선교와 승리
우물가의 여인처럼 | 미디움 | A | 은혜와 사랑
원하고 바라고 기도합니다 | 미디움 | E, F, G | 기도와 간구
웬 말인가 날 위하여 | 느린곡 | G | 회개와 고백
위대하고 강하신 주님 | 빠른곡 | E | 경배와 찬양
위대하신 주 | 느린곡 | A | 경배와 찬양
유월절 어린 양의 피로 | 느린곡 | A | 회개와 고백
은혜 | 느린곡 | C, A | 은혜와 사랑
은혜 아니면 | 느린곡 | G | 은혜와 사랑
은혜로다 | 느린곡 | G | 은혜와 사랑
이 땅의 황무함을 보소서 | 느린곡 | G | 기도와 간구
이 산지를 내게 주소서 | 미디움 | A | 선교와 승리
이 세상에 근심된 일이 많고 | 느린곡 | G | 기도와 간구
이 시간 너의 맘 속에 | 미디움 | A | 축복과 교제
이것이 영원한 삶 | 미디움 | G | 회개와 고백
이곳에서 우리는 | 느린곡 | F, G | 경배와 찬양
이런 교회 되게 하소서 | 미디움 | F | 기도와 간구
이렇게 좋은 날 | 미디움 | C | 은혜와 사랑
인도자 | 느린곡 | C, D | 기도와 간구
일어나라 빛을 발하라 | 빠른곡 | A | 선교와 승리
잊을 수 없는 은혜 | 느린곡 | G | 은혜와 사랑
작고 약한 내 모습 | 느린곡 | G, A | 은혜와 사랑
작은 불꽃 하나가 | 미디움 | D | 선교와 승리
저 들 밖에 한밤중에 | 미디움 | C, D | 회개와 고백
전능하신 나의 주 하나님은 | 미디움 | A | 기도와 간구
전부 | 느린곡 | D, F | 선교와 승리
정결한 맘 주시옵소서 | 느린곡 | G | 경배와 찬양
존귀 오 존귀하신 주 | 빠른곡 | E | 경배와 찬양
좋으신 하나님 | 미디움 | E | 경배와 찬양
좋으신 하나님 인자와 자비 | 빠른곡 | E | 은혜와 사랑
죄 짐 맡은 우리 구주 | 미디움 | F | 회개와 고백
주 발 앞에 나 엎드려 | 빠른곡 | A | 경배와 찬양
주 보혈 날 정결케 하고 | 느린곡 | G | 회개와 고백
주 사랑이 나를 숨쉬게 해 | 느린곡 | D | 은혜와 사랑
주 신실하심 놀라워 | 미디움 | G | 은혜와 사랑
주 앞에 나와 | 느린곡 | A, Bb | 회개와 고백
주 없이 살 수 없네 | 느린곡 | G | 회개와 고백
주 여호와는 광대하시도다 | 느린곡 | G, A | 경배와 찬양
주 예수 이름 높이어 | 미디움 | E | 경배와 찬양
주 예수의 이름 높이세 | 빠른곡 | G | 선교와 승리
주 은혜임을 | 느린곡 | F, G, A | 은혜와 사랑
주 이름 큰 능력 있도다 | 빠른곡 | D | 경배와 찬양
주 찬양합니다 | 미디움 | D | 경배와 찬양
주 품에 | 느린곡 | C | 경배와 찬양
주가 계획하신 이 날 | 미디움 | D | 축복과 교제
주가 보이신 생명의 길 | 느린곡 | A | 회개와 고백
주가 일하시네 | 미디움 | C, A | 경배와 찬양
주가 주 되심을 | 미디움 | C, G, A | 경배와 찬양
주기도문 | 느린곡 | A | 경배와 찬양
주께 가까이 날 이끄소서 | 느린곡 | A | 기도와 간구
주께 가오니 | 느린곡 | A | 기도와 간구
주께와 엎드려 | 느린곡 | C | 경배와 찬양
주는 나를 기르시는 목자요 | 빠른곡 | G | 회개와 고백
주는 완전합니다 | 느린곡 | A | 경배와 찬양
주님 내가 여기 있사오니 | 느린곡 | D | 기도와 간구
주님 다시 오실 때까지 | 느린곡 | C | 회개와 고백
주님 뜻대로 살기로 했네 | 미디움 | A | 선교와 승리
주님 마음 내게 주소서 | 느린곡 | C | 기도와 간구
주님 말씀하시면 | 느린곡 | D | 회개와 고백
주님 손에 맡겨 드리리 | 느린곡 | D, E, F | 선교와 승리
주님 손잡고 일어서세요 | 느린곡 | C, A | 축복과 교제
주님 큰 영광 받으소서 | 미디움 | G, A | 경배와 찬양
주님 한 분만으로 | 빠른곡 | G | 회개와 고백
주님과 같이 | 느린곡 | F, G | 회개와 고백
주님만 사랑하리 | 느린곡 | F | 경배와 찬양
주님여 이 손을 꼭 잡고 | 느린곡 | G | 기도와 간구
주님은 너를 사랑해 | 미디움 | D | 축복과 교제
주님은 신실하고 | 미디움 | G | 은혜와 사랑
주님은 절대 포기하지 않으시죠 | 느린곡 | E | 은혜와 사랑
주님을 바라봅니다 | 느린곡 | D | 기도와 간구
주님을 보게 하소서 | 느린곡 | G | 선교와 승리
주님의 마음 있는 곳 | 미디움 | A | 선교와 승리
주님의 사랑이 이 곳에 가득하기를 | 느린곡 | E | 은혜와 사랑
주님의 성령 지금 이 곳에 | 느린곡 | D | 경배와 찬양
주님의 숲 | 미디움 | A | 은혜와 사랑
주를 더 알수록 | 느린곡 | D, E | 은혜와 사랑
주를 맞이할 준비 | 미디움 | G | 선교와 승리
주를 위한 이곳에 | 느린곡 | D | 경배와 찬양
주를 찬양 | 빠른곡 | G | 경배와 찬양
주를 찾는 모든 자들이 | 미디움 | E | 경배와 찬양
주를 향한 나의 사랑을 | 느린곡 | E, F, G | 회개와 고백
주만 바라볼지라 | 미디움 | A | 회개와 고백
주만의 지혜 | 느린곡 | G | 은혜와 사랑
주의 나라는 | 미디움 | G | 선교와 승리
주의 말씀 앞에 선 | 미디움 | F | 축복과 교제
주의 발자취를 따름이 | 미디움 | D | 선교와 승리
주의 보좌로 나아갈 때에 | 느린곡 | E | 기도와 간구
주의 사랑을 주의 선하심을 | 미디움 | D | 은혜와 사랑
주의 손에 나의 손을 포개고 | 느린곡 | G | 선교와 승리
주의 신을 내가 떠나 | 느린곡 | G | 회개와 고백
주의 영광 이곳에 가득해 | 느린곡 | A | 경배와 찬양
주의 옷자락 만지며 | 느린곡 | A | 기도와 간구
주의 은혜라 | 느린곡 | A | 은혜와 사랑
주의 음성을 내가 들으니 | 미디움 | G | 경배와 찬양
주의 이름 높이며 | 빠른곡 | G, A | 회개와 고백
주의 인자하심이 | 미디움 | G | 은혜와 사랑
주의 자녀로 산다는 것은 | 미디움 | E | 선교와 승리
주의 자비가 내려와 | 빠른곡 | D | 경배와 찬양
죽으면 죽으리라 | 느린곡 | B | 선교와 승리
지금 우리가 | 빠른곡 | D | 선교와 승리
지금은 엘리야 때처럼 | 빠른곡 | A | 선교와 승리
지존하신 주님 이름 앞에 | 느린곡 | G | 경배와 찬양
찬송을 부르세요 | 빠른곡 | G | 은혜와 사랑
찬양이 언제나 | 빠른곡 | A | 경배와 찬양
찬양하라 내 영혼아 | 미디움 | F, G, A | 경배와 찬양
찬양하세 | 빠른곡 | A | 경배와 찬양
참 반가운 성도여 | 빠른곡 | G, A | 경배와 찬양
창조의 아버지 | 미디움 | G | 경배와 찬양
천국은 마치 | 빠른곡 | G | 경배와 찬양
천부여 의지 없어서 | 느린곡 | F | 기도와 간구
천사들의 노래가 | 미디움 | E, F | 경배와 찬양
축복의 사람 | 미디움 | D, E | 축복과 교제
축복합니다 | 빠른곡 | E | 축복과 교제
충만 | 느린곡 | F, G | 경배와 찬양
평안을 너에게 주노라 | 느린곡 | D | 축복과 교제
평화 하나님의 평강이 | 느린곡 | E | 축복과 교제
하나님 아버지의 마음 | 느린곡 | C | 기도와 간구
하나님 어린 양 독생자 예수 | 느린곡 | A | 회개와 고백
하나님께로 더 가까이 | 느린곡 | G | 회개와 고백
하나님께서 당신을 통해 | 미디움 | G | 기도와 간구
하나님은 너를 지키시는 자 | 느린곡 | E | 축복과 교제
하나님은 우리의 | 미디움 | A | 경배와 찬양
하나님의 그늘 아래 | 느린곡 | A | 회개와 고백
